Name  ,Tclass,Filming,Event
Adele Island Nature Reserve,N/A,N/A,N/A
Albany District State Forest,N/A,N/A,N/A
Alexander Morrison National Park,N/A,N/A,N/A
Avon Valley National Park,NNP439 GST,NNP439 GST,NNP439 GST
Badgingarra National Park,N/A,N/A,N/A
Banyowla Regional Park,N/A,N/A,N/A
Barrow Island Marine Management Area,N/A,N/A,N/A
Barrow Island Marine Park,N/A,N/A,N/A
Beeliar Regional Park,N/A,N/A,N/A
Beelu National Park,N/A,N/A,N/A
Billycatting Nature Reserve,N/A,N/A,N/A
Blackwood District State Forest,N/A,N/A,N/A
Blackwood River National Park,N/A,N/A,N/A
Boorabbin National Park,N/A,N/A,N/A
Brockman National Park,N/A,N/A,N/A
Browse Island Nature Reserve,N/A,N/A,N/A
Bruce Rock Nature Reserve,N/A,N/A,N/A
Burra Rock Nature Reserve,N/A,N/A,N/A
Canning Regional Park,N/A,N/A,N/A
Cape Arid National Park,NNP332 GST,NNP332 GST,NNP332 GST
Cape Le Grand National Park,NNP333 GST,NNP333 GST,NNP333 GST
Cape Range National Park,NNP76 GST,NNP76 GST,NNP76 GST
Cave Hill Nature Reserve,N/A,N/A,N/A
Coalseam Conservation Park,N/A,N/A,N/A
Coarin Nature Reserve,N/A,N/A,N/A
Collier Range National Park,N/A,N/A,N/A
Creery Wetlands Nature Reserve,na,na,na
D'Entrecasteaux National Park,NNP444 GST,NNP444 GST,NNP444 GST
Dalgarup National Park,N/A,N/A,N/A
Dampier Archipelago (mixed tenure),N/A,N/A,N/A
Dingo Rocks Nature Reserve,N/A,N/A,N/A
Dirk Hartog Island National Park,N/A,N/A,N/A
Donnelly District State Forest,N/A,N/A,N/A
Drovers Cave National Park,N/A,N/A,N/A
Dryandra Woodland State Forest,N/A,N/A,N/A
Drysdale River National Park,N/A,N/A,N/A
Esperance District State Forest,N/A,N/A,N/A
Eucla National Park,N/A,N/A,N/A
Fitzgerald River National Park,NNP344 GST,NNP344 GST,NNP344 GST
Forest Grove National Park,N/A,N/A,N/A
Francois Peron National Park,NNP306 GST,NNP306 GST,NNP306 GST
Frank Hann National Park,N/A,N/A,N/A
Frankland District State Forest,N/A,N/A,N/A
Frog Rock Nature Reserve,N/A,N/A,N/A
Gathercole Nature Reserve,N/A,N/A,N/A
Geikie Gorge National Park,N/A,N/A,N/A
Gibson Desert Nature Reserve,N/A,N/A,N/A
Gloucester National Park,NNP71 GST,NNP71 GST,NNP71 GST
Goegrup Lake Nature Reserve,na,na,na
Goldfields Woodlands National Park,N/A,N/A,N/A
Gooseberry Hill National Park,N/A,N/A,N/A
Great Southern District State Forest,N/A,N/A,N/A
Great Victoria Desert Nature Reserve,N/A,N/A,N/A
Greater Beedelup National Park,NNP343 GST,NNP343 GST,NNP343 GST
Greater Dordagup National Park,na,na,na
Greater Preston National Park,N/A,N/A,N/A
Greenmount National Park,N/A,N/A,N/A
Gundaring Nature Reserve,N/A,N/A,N/A
Hamelin Pool Marine Nature Reserve,N/A,N/A,N/A
Hawke National Park,na,na,na
Helena and Aurora Range Conservation Park,N/A,N/A,N/A
Helena National Park,N/A,N/A,N/A
Herdsman Lake Regional Park,N/A,N/A,N/A
Hilliger National Park,N/A,N/A,N/A
Houtman Abrolhos Islands National Park,243,243,243
Jandakot Regional Park,N/A,N/A,N/A
Jane National Park,na,na,na
John Forrest National Park,NNP440 GST,NNP440 GST,NNP440 GST
Jurabi Coastal Park,na,na,na
Jurien Bay Marine Park,N/A,N/A,N/A
Kalamunda National Park,N/A,N/A,N/A
Kalbarri National Park,NNP19 GST,NNP19 GST,NNP19 GST
Karijini National Park,NNP361,NNP361,NNP361
Karlamilyi National Park,N/A,N/A,N/A
Kennedy Range National Park,N/A,N/A,N/A
King Leopold Ranges Conservation Park,NNP421 GST,NNP421 GST,NNP421 GST
Kokerbin Nature Reserve,N/A,N/A,N/A
Korrelocking Nature Reserve,N/A,N/A,N/A
Korung National Park,N/A,N/A,N/A
Lacepede Islands Nature Reserve,N/A,N/A,N/A
Lake Campion Nature Reserve,N/A,N/A,N/A
Lake Cronin Nature Reserve,N/A,N/A,N/A
Lake Lake McClarty Nature Reserve,na,na,na
Lalang-garram/Camden Sound Marine Park,N/A,N/A,N/A
Lalang-garram/Horizontal Falls Marine Park,N/A,N/A,N/A
Lane Poole Reserve,NNP441 GST,NNP441 GST,NNP441 GST
Leeuwin-Naturaliste National Park,N/A,N/A,N/A
Len Howard Conservation Park,na,na,na
Leschenault Peninsula Conservation Park,N/A,N/A,N/A
Lesmurdie National Park,N/A,N/A,N/A
Lesueur National Park,NNP308 GST,NNP308 GST,NNP308 GST
Low Rocks Nature Reserve,N/A,N/A,N/A
Marmion Marine Park,N/A,N/A,N/A
Matilda Bay Reserve,N/A,N/A,N/A
Midgegooroo National Park,N/A,N/A,N/A
Millstream Chichester National Park,NNP362,NNP362,NNP362
Milyeannup National Park,N/A,N/A,N/A
Mirima National Park,NNP327 GST,NNP327 GST,NNP327 GST
Mitchell River National Park,N/A,N/A,N/A
Monkey Mia Reserve,na,na,na
Montebello Islands Marine Park,N/A,N/A,N/A
Moore River National Park,N/A,N/A,N/A
Mt Augustus National Park,N/A,N/A,N/A
Mt Caroline Nature Reserve,N/A,N/A,N/A
Mt Frankland National Park,N/A,N/A,N/A
Mt Frankland North National Park,N/A,N/A,N/A
Mt Frankland South National Park,N/A,N/A,N/A
Mt Hampton Nature Reserve,N/A,N/A,N/A
Mt Lindesay National Park,N/A,N/A,N/A
Mt Roe National Park,N/A,N/A,N/A
Mt Stirling Nature Reserve,N/A,N/A,N/A
Muiron Islands Marine Management Area,N/A,N/A,N/A
Muiron Islands Nature Reserve,N/A,N/A,N/A
Mundy Regional Park,N/A,N/A,N/A
Murujuga National Park,N/A,N/A,N/A
Nambung National Park,NNP307 GST,NNP307 GST,NNP307 GST
Namelcatchem Nature Reserve,N/A,N/A,N/A
Nangeen Nature Reserve,N/A,N/A,N/A
Neale Junction Nature Reserve,N/A,N/A,N/A
Neerabup National Park,N/A,N/A,N/A
Ngamoowalem Conservation Park,N/A,N/A,N/A
Ngari Capes Marine Park,N/A,N/A,N/A
Ningaloo Marine Park,N/A,N/A,N/A
North Kimberley Marine Park,N/A,N/A,N/A
North Lalang-garram Marine Park,N/A,N/A,N/A
Nuytsland Nature Reserve,N/A,N/A,N/A
Parry Lagoons Nature Reserve,N/A,N/A,N/A
Peak Charles National Park,N/A,N/A,N/A
Pelican Island Nature Reserve,N/A,N/A,N/A
Penguin Island Conservation Park,N/A,N/A,N/A
Perth Hills District State Forest,N/A,N/A,N/A
Plumridge Lakes Nature Reserve,N/A,N/A,N/A
Porongurup National Park,NNP345 GST,NNP345 GST,NNP345 GST
Prince Regent National Park,N/A,N/A,N/A
Purnululu National Park,NNP325 GST,NNP325 GST,NNP325 GST
Queen Victoria Spring Nature Reserve,N/A,N/A,N/A
Rapids Conservation Park,na,na,na
Rockingham Lakes Regional Park,N/A,N/A,N/A
Rowles Lagoon Conservation Park,N/A,N/A,N/A
Rowley Shoals Marine Park,N/A,N/A,N/A
Rudall River National Park,N/A,N/A,N/A
Samphire Cove Nature Reserve,na,na,na
Sandford Rocks Nature Reserve,N/A,N/A,N/A
Scott Reef Nature Reserve,N/A,N/A,N/A
Serpentine National Park,NNP442 GST,NNP442 GST,NNP442 GST
Shannon National Park,NNP445 GST,NNP445 GST,NNP445 GST
Shark Bay Marine Park,N/A,N/A,N/A
Shell Beach Conservation Park,N/A,N/A,N/A
Shoalwater Islands Marine Park,N/A,N/A,N/A
Stirling Range National Park,NNP346 GST,NNP346 GST,NNP346 GST
Stockyard Gully Reserve,N/A,N/A,N/A
Stokes National Park,NNP334,NNP334,NNP334
Swan Coastal District State Forest,N/A,N/A,N/A
Swan Estuary Marine Park,N/A,N/A,N/A
Tathra National Park,N/A,N/A,N/A
Torndirrup National Park,NNP414 GST,NNP414 GST,NNP414 GST
Totagin Nature Reserve,N/A,N/A,N/A
Tuart Forest National Park,N/A,N/A,N/A
Tunnel Creek National Park,NNP402 GST,NNP402 GST,NNP402 GST
Two Peoples Bay Nature Reserve,NNP416 GST,NNP416 GST,NNP416 GST
Wallaroo Rock Conservation Park,N/A,N/A,N/A
Walpole-Nornalup National Park,N/A,N/A,N/A
Walpole and Nornalup Inlets Marine Park,N/A,N/A,N/A
Walyunga National Park,NNP443 GST,NNP443 GST,NNP443 GST
Wandoo National Park,N/A,N/A,N/A
Wanjarri Nature Reserve,N/A,N/A,N/A
Warren National Park,NNP341 GST,NNP341 GST,NNP341 GST
Watheroo National Park,N/A,N/A,N/A
Waychinicup National Park,N/A,N/A,N/A
Wellington District State Forest,N/A,N/A,N/A
Wellington National Park,N/A,N/A,N/A
West Cape Howe National Park,NNP415 GST,NNP415 GST,NNP415 GST
Whicher National Park,N/A,N/A,N/A
Wilbinga Conservation Park,na,na,na
William Bay National Park,N/A,N/A,N/A
Wiltshire-Butler National Park,N/A,N/A,N/A
Windjana Gorge National Park,NNP402 GST,NNP402 GST,NNP402 GST
Wolfe Creek Crater National Park,N/A,N/A,N/A
Wongan Hills Nature Reserve,N/A,N/A,N/A
Wooditjup National Park,N/A,N/A,N/A
Woodman Point Regional Park,N/A,N/A,N/A
Wooroloo Regional Park,N/A,N/A,N/A
Wungong Regional Park,N/A,N/A,N/A
Yalgorup National Park,N/A,N/A,N/A
Yanchep National Park,NNP323 GST,NNP323 GST,NNP323 GST
Yanneymooning Nature Reserve,N/A,N/A,N/A
Yawuru Nagulagun/Roebuck Bay Marine Park,N/A,N/A,N/A
Yellagonga Regional Park,N/A,N/A,N/A
Yelverton National Park,N/A,N/A,N/A
Yeo Lake Nature Reserve,N/A,N/A,N/A
Yorkrakine Nature Reserve,N/A,N/A,N/A
